Period,Code,Sex,Age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,lessthan1,59.71114,59.19049,60.23179,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,01-04,58.96446,58.44167,59.48725,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,05-09,55.05734,54.53536,55.57932,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,10-14,50.22581,49.70769,50.74393,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,15-19,45.50271,44.99058,46.01483,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,20-24,40.91257,40.40816,41.41698,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,25-29,36.50085,36.00641,36.99529,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,30-34,32.25743,31.77401,32.74085,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,35-39,28.17852,27.71229,28.64475,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,40-44,24.26815,23.81894,24.71737,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,45-49,20.53622,20.10616,20.96628,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,50-54,16.99426,16.58162,17.4069,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,55-59,13.74725,13.35284,14.14165,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,60-64,10.90573,10.52938,11.28208,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,65-69,8.42497,8.06226,8.78767,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,70-74,6.24667,5.89628,6.59706,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,75-79,4.43319,4.08554,4.78083,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,80-84,3.01278,2.70354,3.32203,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,85-89,2.01612,1.75867,2.27357,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,M,90plus,1.43902,1.1783,1.69974,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,lessthan1,60.25108,59.70253,60.79963,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,01-04,59.4875,58.9373,60.03769,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,05-09,55.68059,55.13352,56.22765,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,10-14,50.9472,50.40684,51.48756,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,15-19,46.27463,45.74308,46.80619,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,20-24,41.729,41.20855,42.24945,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,25-29,37.29702,36.78797,37.80607,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,30-34,32.98895,32.49305,33.48484,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,35-39,28.8467,28.36618,29.32723,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,40-44,24.89266,24.42925,25.35607,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,45-49,21.13526,20.68861,21.58192,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,50-54,17.61321,17.18438,18.04204,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,55-59,14.36233,13.95181,14.77285,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,60-64,11.42541,11.03332,11.8175,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,65-69,8.76648,8.38924,9.14372,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,70-74,6.44232,6.08636,6.79828,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,75-79,4.48288,4.1378,4.82795,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,80-84,2.96117,2.6462,3.27614,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,85-89,1.84677,1.58888,2.10466,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000001,F,90plus,1.08917,0.85043,1.3279,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,lessthan1,60.76212,60.3988,61.12544,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,01-04,60.13566,59.77045,60.50087,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,05-09,56.34519,55.98225,56.70813,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,10-14,51.60478,51.24648,51.96308,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,15-19,46.90268,46.54987,47.2555,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,20-24,42.30678,41.96023,42.65334,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,25-29,37.86017,37.52164,38.19869,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,30-34,33.50872,33.17936,33.83809,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,35-39,29.30262,28.9834,29.62184,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,40-44,25.29372,24.98425,25.60319,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,45-49,21.48451,21.18442,21.78461,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,50-54,17.86274,17.57179,18.15369,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,55-59,14.53622,14.25577,14.81667,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,60-64,11.57824,11.30864,11.84784,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,65-69,8.95614,8.69498,9.21731,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,70-74,6.65211,6.39828,6.90594,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,75-79,4.73378,4.47726,4.99029,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,80-84,3.20476,2.96458,3.44494,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,85-89,2.13391,1.93305,2.33476,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,90plus,1.46799,1.26955,1.66642,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,lessthan1,61.6103,61.2266,61.994,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,01-04,60.91049,60.52546,61.29552,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,05-09,57.18554,56.80364,57.56745,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,10-14,52.51014,52.13406,52.88623,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,15-19,47.8799,47.51051,48.24928,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,20-24,43.34405,42.98268,43.70543,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,25-29,38.89727,38.54368,39.25086,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,30-34,34.56786,34.22177,34.91396,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,35-39,30.37682,30.04199,30.71166,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,40-44,26.35242,26.02746,26.67739,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,45-49,22.51712,22.20107,22.83317,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,50-54,18.8823,18.57754,19.18705,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,55-59,15.52403,15.23069,15.81738,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,60-64,12.46069,12.17984,12.74155,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,65-69,9.6548,9.38387,9.92573,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,70-74,7.17599,6.91617,7.4358,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,75-79,5.08347,4.83263,5.33432,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,80-84,3.40037,3.17596,3.62477,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,85-89,2.158,1.972,2.344,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,90plus,1.33019,1.15299,1.5074,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,lessthan1,60.84037,60.38652,61.29421,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,01-04,60.23492,59.77891,60.69092,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,05-09,56.54956,56.09848,57.00065,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,10-14,51.91705,51.47466,52.35945,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,15-19,47.30591,46.87297,47.73885,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,20-24,42.79864,42.37571,43.22158,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,25-29,38.39739,37.98307,38.81172,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,30-34,34.08254,33.68084,34.48423,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,35-39,29.90598,29.51753,30.29443,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,40-44,25.89171,25.5138,26.26963,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,45-49,22.03244,21.66504,22.39985,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,50-54,18.34914,17.99544,18.70284,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,55-59,14.93795,14.59966,15.27623,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,60-64,11.88108,11.55658,12.20558,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,65-69,9.1543,8.84048,9.46812,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,70-74,6.75445,6.44932,7.05958,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,75-79,4.77497,4.46781,5.08212,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,80-84,3.19229,2.9002,3.48439,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,85-89,2.07697,1.83532,2.31863,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,90plus,1.38229,1.14722,1.61736,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,lessthan1,61.97614,61.51686,62.43543,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,01-04,61.3389,60.87755,61.80025,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,05-09,57.59673,57.13892,58.05454,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,10-14,52.9036,52.45209,53.35511,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,15-19,48.25146,47.80688,48.69603,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,20-24,43.68791,43.25183,44.12399,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,25-29,39.21457,38.78677,39.64238,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,30-34,34.84348,34.42604,35.26093,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,35-39,30.60332,30.19634,31.01031,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,40-44,26.52009,26.12433,26.91586,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,45-49,22.6291,22.24391,23.01429,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,50-54,18.92389,18.55118,19.29659,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,55-59,15.49531,15.13675,15.85387,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,60-64,12.377,12.03408,12.71992,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,65-69,9.50872,9.17981,9.83762,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,70-74,6.9659,6.65064,7.28115,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,75-79,4.83797,4.53234,5.14361,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,80-84,3.16438,2.88777,3.441,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,85-89,1.98177,1.7539,2.20964,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,90plus,1.19814,0.985,1.41129,HLE
