Period,Code,Sex,Age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,lessthan1,62.60203,62.07078,63.13327,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,01-04,61.97071,61.43695,62.50448,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,05-09,58.1989,57.66854,58.72925,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,10-14,53.47306,52.94884,53.99728,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,15-19,48.77661,48.25917,49.29405,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,20-24,44.17222,43.66201,44.68242,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,25-29,39.67457,39.17856,40.17059,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,30-34,35.26742,34.7847,35.75013,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,35-39,30.98564,30.51626,31.45502,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,40-44,26.84237,26.38502,27.29972,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,45-49,22.87635,22.43149,23.32121,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,50-54,19.10263,18.6708,19.53446,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,55-59,15.6055,15.19179,16.01921,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,60-64,12.42284,12.02806,12.81762,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,65-69,9.59462,9.21441,9.97482,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,70-74,7.10473,6.7321,7.47735,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,75-79,5.00021,4.63507,5.36535,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,80-84,3.30667,2.96981,3.64354,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,85-89,2.11906,1.84026,2.39786,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,90plus,1.38688,1.11441,1.65935,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,lessthan1,63.14702,62.5705,63.72355,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,01-04,62.45317,61.87478,63.03157,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,05-09,58.74769,58.17477,59.32062,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,10-14,54.09691,53.5334,54.66043,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,15-19,49.48621,48.93295,50.03947,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,20-24,44.95731,44.41613,45.49849,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,25-29,40.50814,39.97824,41.03804,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,30-34,36.147,35.63019,36.66382,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,35-39,31.8879,31.38466,32.39113,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,40-44,27.77882,27.28886,28.26878,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,45-49,23.83513,23.35908,24.31118,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,50-54,20.0986,19.63658,20.56061,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,55-59,16.59931,16.15504,17.04357,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,60-64,13.38198,12.95576,13.8082,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,65-69,10.41382,10.00497,10.82267,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,70-74,7.7588,7.36397,8.15362,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,75-79,5.48231,5.10514,5.85948,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,80-84,3.66147,3.32307,3.99987,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,85-89,2.32664,2.04497,2.6083,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,90plus,1.42053,1.15678,1.68428,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,lessthan1,62.2738,61.8319,62.7157,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,01-04,61.70243,61.25783,62.14703,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,05-09,57.88286,57.44046,58.32526,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,10-14,53.12511,52.68739,53.56284,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,15-19,48.40504,47.97324,48.83684,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,20-24,43.80642,43.38145,44.2314,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,25-29,39.3328,38.91668,39.74892,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,30-34,34.96399,34.56107,35.36692,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,35-39,30.7279,30.33767,31.11813,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,40-44,26.65105,26.27375,27.02835,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,45-49,22.75235,22.38665,23.11806,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,50-54,19.076,18.72221,19.42979,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,55-59,15.66585,15.32821,16.00349,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,60-64,12.57879,12.25726,12.90032,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,65-69,9.8093,9.49837,10.12022,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,70-74,7.32459,7.02252,7.62665,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,75-79,5.21353,4.91777,5.50928,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,80-84,3.54589,3.27877,3.81302,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,85-89,2.3153,2.09383,2.53678,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,90plus,1.57801,1.35671,1.79932,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,lessthan1,62.7544,62.28043,63.22836,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,01-04,62.15594,61.67976,62.63212,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,05-09,58.44653,57.97546,58.91759,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,10-14,53.79367,53.33088,54.25645,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,15-19,49.15145,48.69752,49.60538,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,20-24,44.59005,44.14641,45.03368,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,25-29,40.11133,39.67628,40.54639,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,30-34,35.72594,35.29983,36.15205,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,35-39,31.43449,31.02035,31.84863,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,40-44,27.30706,26.90456,27.70955,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,45-49,23.34658,22.95508,23.73808,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,50-54,19.6119,19.23214,19.99165,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,55-59,16.12439,15.76036,16.48843,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,60-64,12.94417,12.59627,13.29206,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,65-69,9.99495,9.65956,10.33034,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,70-74,7.3558,7.03351,7.67809,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,75-79,5.12875,4.81816,5.43934,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,80-84,3.38305,3.10018,3.66592,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,85-89,2.13174,1.89704,2.36644,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,90plus,1.33122,1.10604,1.5564,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,lessthan1,64.7105,64.22417,65.19682,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,01-04,64.04274,63.55467,64.53081,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,05-09,60.29662,59.81391,60.77933,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,10-14,55.5889,55.1151,56.06269,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,15-19,50.89795,50.43348,51.36242,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,20-24,46.29533,45.84062,46.75004,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,25-29,41.77474,41.33028,42.21919,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,30-34,37.33307,36.90002,37.76612,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,35-39,32.9648,32.54277,33.38683,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,40-44,28.72585,28.3133,29.1384,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,45-49,24.62942,24.22717,25.03166,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,50-54,20.72165,20.33119,21.11211,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,55-59,17.05627,16.67867,17.43387,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,60-64,13.70362,13.34134,14.0659,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,65-69,10.6521,10.30204,11.00217,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,70-74,7.90322,7.56721,8.23923,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,75-79,5.58084,5.25148,5.91019,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,80-84,3.71076,3.40819,4.01333,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,85-89,2.36232,2.11232,2.61231,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,90plus,1.50791,1.26971,1.74612,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,lessthan1,66.18222,65.6804,66.68404,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,01-04,65.45237,64.94899,65.95575,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,05-09,61.65797,61.15777,62.15816,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,10-14,56.90378,56.40956,57.39799,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,15-19,52.18458,51.69732,52.67183,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,20-24,47.58047,47.10251,48.05843,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,25-29,43.08745,42.62068,43.55422,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,30-34,38.65801,38.20213,39.11389,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,35-39,34.2932,33.84746,34.73894,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,40-44,30.03719,29.602,30.47239,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,45-49,25.93577,25.50989,26.36164,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,50-54,22.00471,21.59036,22.41907,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,55-59,18.30523,17.90494,18.70552,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,60-64,14.84381,14.45952,15.22811,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,65-69,11.58201,11.21055,11.95347,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,70-74,8.59986,8.24368,8.95605,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,75-79,6.04256,5.70174,6.38338,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,80-84,4.02851,3.71952,4.33749,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,85-89,2.58813,2.33035,2.84592,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,90plus,1.68523,1.43703,1.93344,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,lessthan1,62.7123,62.27154,63.15306,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,01-04,62.06332,61.62057,62.50608,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,05-09,58.30033,57.8609,58.73976,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,10-14,53.59079,53.15761,54.02398,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,15-19,48.90052,48.47409,49.32696,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,20-24,44.28938,43.87004,44.70872,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,25-29,39.75249,39.33892,40.16605,HLE
