Period,Code,Sex,Age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,40-44,38.90006,38.83119,38.96893,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,45-49,34.32681,34.26003,34.39359,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,50-54,29.82513,29.76037,29.88988,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,55-59,25.48439,25.42219,25.54659,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,60-64,21.3549,21.29567,21.41412,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,65-69,17.43427,17.37715,17.49138,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,70-74,13.85735,13.80291,13.91179,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,75-79,10.68028,10.62783,10.73273,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,80-84,7.93179,7.87915,7.98443,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,85-89,5.77735,5.71768,5.83703,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,M,90plus,4.27287,4.18159,4.36415,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,lessthan1,81.397,81.31842,81.47558,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,01-04,80.723,80.64935,80.79665,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,05-09,76.79382,76.72128,76.86636,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,10-14,71.82252,71.75045,71.89459,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,15-19,66.85382,66.78219,66.92544,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,20-24,61.91565,61.84474,61.98655,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,25-29,56.9778,56.90752,57.04809,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,30-34,52.07468,52.00532,52.14404,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,35-39,47.21501,47.14699,47.28303,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,40-44,42.408,42.34144,42.47455,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,45-49,37.6749,37.60989,37.7399,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,50-54,33.00276,32.93936,33.06615,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,55-59,28.48193,28.42088,28.54298,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,60-64,24.13211,24.07404,24.19018,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,65-69,19.94723,19.89169,20.00277,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,70-74,16.00936,15.95718,16.06155,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,75-79,12.42189,12.37312,12.47065,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,80-84,9.2523,9.20599,9.29862,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,85-89,6.6531,6.60546,6.70073,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000002,F,90plus,4.76348,4.70087,4.82609,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,lessthan1,77.98089,77.88459,78.07719,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,01-04,77.40746,77.31741,77.49751,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,05-09,73.47905,73.39008,73.56802,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,10-14,68.51303,68.42461,68.60146,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,15-19,63.54509,63.45711,63.63308,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,20-24,58.66573,58.57911,58.75236,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,25-29,53.82793,53.74285,53.91301,LE
