Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,40-44,39.93524,39.91194,39.95854,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,45-49,35.28691,35.26419,35.30962,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,50-54,30.71584,30.69373,30.73796,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,55-59,26.28997,26.26863,26.31131,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,60-64,22.0801,22.05972,22.10048,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,65-69,18.0854,18.06576,18.10503,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,70-74,14.38383,14.36512,14.40255,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,75-79,11.07333,11.05542,11.09125,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,80-84,8.1935,8.17569,8.21131,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,85-89,5.91075,5.89095,5.93056,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,90plus,4.33776,4.30827,4.36724,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,lessthan1,82.45154,82.42524,82.47785,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,01-04,81.77927,81.75462,81.80392,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,05-09,77.83382,77.80946,77.85819,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,10-14,72.86346,72.83926,72.88766,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,15-19,67.89514,67.8711,67.91919,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,20-24,62.95695,62.93316,62.98075,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,25-29,58.02712,58.00357,58.05067,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,30-34,53.11424,53.09097,53.13752,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,35-39,48.2298,48.20687,48.25272,LE
