Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,35-39,31.08688,30.97039,31.20337,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,40-44,26.96216,26.84878,27.07554,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,45-49,23.02057,22.91026,23.13089,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,50-54,19.27145,19.16442,19.37848,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,55-59,15.78921,15.68594,15.89249,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,60-64,12.64197,12.54263,12.7413,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,65-69,9.81597,9.71936,9.91258,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,70-74,7.31124,7.21691,7.40556,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,75-79,5.20277,5.10856,5.29697,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,80-84,3.51161,3.42304,3.60018,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,85-89,2.28771,2.2139,2.36152,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,M,90plus,1.51315,1.44088,1.58543,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,lessthan1,63.81677,63.67868,63.95485,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,01-04,63.12103,62.98247,63.25959,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,05-09,59.37233,59.2349,59.50976,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,10-14,54.67097,54.53551,54.80642,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,15-19,50.00012,49.86688,50.13336,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,20-24,45.42493,45.2944,45.55546,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,25-29,40.93811,40.81042,41.0658,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,30-34,36.52981,36.40508,36.65454,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,35-39,32.22406,32.10227,32.34586,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,40-44,28.06987,27.95114,28.18861,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,45-49,24.0962,23.98047,24.21192,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,50-54,20.32442,20.21199,20.43685,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,55-59,16.80695,16.69837,16.91553,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,60-64,13.56205,13.45777,13.66633,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,65-69,10.54698,10.4462,10.64776,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,70-74,7.84159,7.74444,7.93874,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,75-79,5.54358,5.44935,5.63781,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,80-84,3.71353,3.62866,3.79841,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,85-89,2.38434,2.31339,2.45529,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,90plus,1.50791,1.44,1.57581,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,lessthan1,60.74263,59.86974,61.61552,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,01-04,60.13731,59.26052,61.0141,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,05-09,56.47197,55.60904,57.33489,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,10-14,51.8545,51.01487,52.69413,HLE
